episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,mean_reward_proximity,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,sum_reward_proximity,total_intrusions,terminated_waypoint,truncated,finished_at
1,19,-0.001797896066671847,-0.00024008635958927476,0.0,0.0,-0.03416002526676509,-0.00456164083219622,0.0,0.0,0,False,True,1762858279.9188313
2,27,-0.000971476241002906,0.0030057170263456338,0.0,0.0,-0.02622985850707846,0.08115435971133211,0.0,0.0,0,False,True,1762858295.923203
3,293,-0.0023549282201791003,-0.00020203899087157037,0.0,0.0,-0.6899939685124764,-0.05919742432537012,0.0,0.0,0,False,True,1762858353.9429946
4,73,-0.0038417390768877404,-0.004934967971759369,0.0,0.0,-0.28044695261280506,-0.36025266193843397,0.0,0.0,0,False,True,1762858358.828199
5,250,-0.0018023158819721811,0.0019271402437522043,-0.012,-0.007645620828074841,-0.4505789704930453,0.48178506093805107,-3.0,-1.9114052070187102,1,False,True,1762858385.6556258
6,400,-0.002352971252385672,0.00013870904892101382,0.0,0.0,-0.9411885009542689,0.05548361956840553,0.0,0.0,0,False,True,1762858426.3554013
7,248,-0.0028880876277435834,-0.0028007310644047353,0.0,0.0,-0.7162457316804087,-0.6945813039723744,0.0,0.0,0,False,True,1762858443.3652647
8,93,-0.002724553501607751,-0.0020801447382246094,-0.03225806451612903,-0.012039190359774788,-0.25338347564952085,-0.19345346065488866,-3.0,-1.1196447034590553,1,False,True,1762858449.9361517
9,95,-0.003374323525302096,-0.004356705362460851,0.0,0.0,-0.32056073490369913,-0.4138870094337809,0.0,0.0,0,False,True,1762858465.5598767
10,119,-0.0034056756682173976,-0.0037585531126861443,0.0,-0.020540194350737204,-0.4052754045178703,-0.4472678204096512,0.0,-2.4442831277377275,0,False,True,1762858502.2466583
11,167,-0.002670770645639282,-0.0016221658660814362,0.0,0.0,-0.44601869782176007,-0.27090169963559985,0.0,0.0,0,False,True,1762858524.638266
12,114,-0.002575838503452307,-0.001631720660515897,0.0,0.0,-0.293645589393563,-0.18601615529881227,0.0,0.0,0,False,True,1762858536.300794
