iteration,avg_reward,avg_length,avg_intrusions,waypoint_rate
500,-40.475,122.6,0.47,0.0
1000,-29.768,112.2,0.33,0.0056
1500,-27.941,114.37,0.67,0.0111
2000,-39.953,138.83,0.53,0.05
2500,-19.002,154.47,0.2,0.0167
3000,-32.963,163.1,0.13,0.0222
3500,-6.211,142.23,0.37,0.1
4000,5.269,136.13,0.37,0.3056
4500,44.299,119.4,0.53,0.8111
5000,56.07,104.4,0.33,0.8889
5500,43.61,111.63,0.57,0.8667
6000,46.587,108.0,0.2,0.9056
6500,50.421,105.5,0.33,0.8833
7000,60.262,104.13,0.3,0.9444
7500,53.924,107.37,0.13,0.9
8000,54.462,126.57,0.53,0.8944
8500,40.431,118.77,0.33,0.9056
9000,44.467,116.07,0.7,0.9389
9500,51.924,107.73,0.37,0.9556
10000,59.511,112.17,0.27,0.9667
