episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,mean_reward_proximity,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,sum_reward_proximity,total_intrusions,terminated_waypoint,truncated,finished_at
1,160,-0.0030970687348508058,-0.0016298164093572556,-0.0375,-0.023877257949880118,-0.4955309975761289,-0.2607706254971609,-6.0,-3.820361271980819,2,False,True,1764248362.9762313
2,184,-0.0016206781800518304,0.0032845459310674456,-0.04891304347826087,-0.02918471633972372,-0.2982047851295368,0.60435645131641,-9.0,-5.369987806509164,3,False,True,1764248416.4464295
3,160,-0.0024844370333984003,-0.0011935956170123184,-0.05625,-0.04200906973066071,-0.3975099253437441,-0.19097529872197094,-9.0,-6.721451156905713,3,False,True,1764248458.6749494
4,170,-0.002660777420661549,-0.0013381649416945528,-0.07058823529411765,-0.03358398728587834,-0.4523321615124633,-0.22748804008807397,-12.0,-5.709277838599317,4,False,True,1764248516.224066
5,199,-0.0030722644427911075,-0.0036025893295392056,-0.06030150753768844,-0.020378358840118217,-0.6113806241154304,-0.7169152765783019,-12.0,-4.055293409183525,4,False,True,1764248572.7918963
6,88,-0.0035233039828023852,-0.0029308790989230967,-0.10227272727272728,-0.04833671937408377,-0.3100507504866099,-0.2579173607052325,-9.0,-4.253631304919372,3,False,True,1764248601.1670167
7,119,-0.002834693406480868,-0.003311764410754074,-0.025210084033613446,-0.013560099033559907,-0.3373285153712233,-0.3940999648797348,-3.0,-1.613651784993629,1,False,True,1764248664.2413635
8,27,-0.0030878243432989833,-0.0029516744949105865,0.0,-0.0485132439545883,-0.08337125726907255,-0.07969521136258584,0.0,-1.3098575867738842,0,False,True,1764248709.078822
9,38,-0.00269848510800868,-0.002460347322976549,0.0,-0.027176926756886256,-0.10254243410432985,-0.09349319827310887,0.0,-1.0327232167616778,0,False,True,1764248764.001133
10,161,-0.0024772027417058876,0.0006720850903141243,-0.037267080745341616,-0.032261221391078454,-0.3988296414146479,0.10820569954057402,-6.0,-5.194056643963631,2,False,True,1764248835.8559983
11,71,-0.0023544937383047325,0.0001455960595882371,-0.16901408450704225,-0.039341001009433926,-0.167169055419636,0.010337320230764835,-12.0,-2.7932110716698086,4,False,True,1764248876.4177203
12,321,-0.0028545197150429895,-0.002087691191106798,0.0,-0.015313345731961253,-0.9163008285287996,-0.6701488723452822,0.0,-4.915583979959562,0,False,True,1764248952.6133394
13,121,-0.003288570490251874,-0.0042741557625512565,0.0,-0.034666435572410434,-0.39791702932047673,-0.517172847268702,0.0,-4.194638704261663,0,False,True,1764249024.6001792
14,83,-0.002638003186877787,-0.0015261178578248294,-0.21686746987951808,-0.02609698316997416,-0.2189542645108563,-0.12666778219946084,-18.0,-2.1660496031078553,6,False,True,1764249073.8062031
15,67,-0.003117215105640184,-0.0033120529677832505,-0.22388059701492538,-0.04168529622554234,-0.20885341207789235,-0.2219075488414778,-15.0,-2.7929148471113368,5,False,True,1764249108.6582801
16,75,-0.001976236785071481,0.0011256652141974925,0.0,-0.04246310628699263,-0.14821775888036107,0.08442489106481194,0.0,-3.1847329715244475,0,False,True,1764249156.867933
17,203,-0.002518133676199415,0.0013748860118742421,-0.029556650246305417,-0.032163275305299555,-0.5111811362684813,0.27910186041047114,-6.0,-6.52914488697581,2,False,True,1764249211.558702
18,82,-0.0020039728069383878,0.00028329048245491316,0.0,-0.0033251310420020753,-0.16432577016894778,0.023229819561302878,0.0,-0.2726607454441702,0,False,True,1764249249.1116974
19,29,-0.0021893694301918843,-0.0014377199023897645,0.0,0.0,-0.06349171347556465,-0.04169387716930317,0.0,0.0,0,False,True,1764249295.8207726
20,95,-0.0031194463823527455,-0.001894048851020241,-0.15789473684210525,-0.061303517590066775,-0.2963474063235108,-0.1799346408469229,-15.0,-5.823834171056344,5,False,True,1764249361.3663754
21,80,-0.0028801395305023147,-0.0014601246171939614,-0.0375,-0.019631801312277052,-0.23041116244018517,-0.11680996937551691,-3.0,-1.5705441049821642,1,False,True,1764249416.6756442
22,73,-0.0029711793909389635,-0.002258920589431923,0.0,-0.027195115144410833,-0.21689609553854433,-0.1649012030285304,0.0,-1.9852434055419907,0,False,True,1764249449.4004633
23,152,-0.0031176787821072093,-0.0033314593930571595,0.0,-0.000347100704060617,-0.4738871748802958,-0.5063818277446882,0.0,-0.052759307017213784,0,False,True,1764249498.09749
24,81,-0.0031911514809792917,-0.0015460495720184284,-0.037037037037037035,-0.022782051187638062,-0.25848326995932264,-0.1252300153334927,-3.0,-1.845346146198683,1,False,True,1764249520.5401568
25,43,-0.0033719096874652034,-0.0034514576448148684,-0.3488372093023256,-0.030564521758778503,-0.14499211656100375,-0.14841267872703934,-15.0,-1.3142744356274756,5,False,True,1764249571.258303
26,47,-0.0025690214008426845,-0.0016801665275094847,0.0,-0.05054191950003797,-0.12074400583960618,-0.07896782679294578,0.0,-2.3754702165017845,0,False,True,1764249615.4144278
27,119,-0.0026813261152882346,-0.0012381161576833987,-0.025210084033613446,-0.048115617448898564,-0.31907780771929994,-0.14733582276432444,-3.0,-5.725758476418929,1,False,True,1764249723.0572598
28,129,-0.003712634572533858,-0.004958908021521302,-0.09302325581395349,-0.037735538649708175,-0.47892985985686765,-0.639699134776248,-12.0,-4.867884485812355,4,False,True,1764249752.008398
29,109,-0.00297728928216712,-0.003379653679510954,-0.05504587155963303,-0.03268323276390369,-0.3245245317562161,-0.368382251066694,-6.0,-3.5624723712655024,2,False,True,1764249789.8281226
30,76,-0.0031512009159251667,-0.004192005542547111,-0.19736842105263158,-0.018839934713020395,-0.23949126961031267,-0.31859242123358045,-15.0,-1.4318350381895502,5,False,True,1764249814.5474942
31,177,-0.0022799723370341184,-0.0008255726774342591,0.0,-0.026204915443266752,-0.403555103655039,-0.14612636390586387,0.0,-4.638270033458215,0,False,True,1764249863.648993
32,65,-0.0032653697673803036,-0.0026999909254324514,0.0,-0.004465183200375533,-0.21224903487971974,-0.17549941015310933,0.0,-0.29023690802440966,0,False,True,1764249890.2404788
33,110,-0.0032401978351082887,-0.005033776156861127,-0.05454545454545454,-0.04504570408991263,-0.35642176186191177,-0.553715377254724,-6.0,-4.955027449890389,2,False,True,1764249954.90899
34,89,-0.0030240310017456322,-0.0034711282813032172,-0.06741573033707865,-0.06303195519995233,-0.2691387591553613,-0.30893041703598634,-6.0,-5.609844012795757,2,False,True,1764249978.4001098
35,400,-0.0018453421976214793,-0.0020432086413401844,-0.0225,-0.01636943701492114,-0.7381368790485917,-0.8172834565360737,-9.0,-6.547774805968456,3,False,True,1764250066.7645273
36,70,-0.0035364648421489825,-0.0036649068255014384,-0.08571428571428572,-0.05551385207485588,-0.24755253895042878,-0.25654347778510067,-6.0,-3.8859696452399115,2,False,True,1764250075.6862876
37,97,-0.0038700924927854022,-0.006663369291646213,0.0,-0.012243368431880619,-0.375398971800184,-0.6463468212896827,0.0,-1.18760673789242,0,False,True,1764250105.7237546
38,85,-0.0035181743108733793,-0.004299536220295229,-0.17647058823529413,-0.01934160595222627,-0.29904481642423725,-0.3654605787250944,-15.0,-1.644036505939233,5,False,True,1764250128.9964275
39,58,-0.003235399377644007,-0.004039602296402508,-0.3103448275862069,-0.044424925979333216,-0.1876531639033524,-0.23429693319134548,-18.0,-2.5766457068013264,6,False,True,1764250154.6465704
40,51,-0.0031354707641278977,-0.004391352564136975,-0.058823529411764705,-0.02806564477394424,-0.1599090089705228,-0.22395898077098575,-3.0,-1.4313478834711562,1,False,True,1764250184.948079
41,28,-0.0017288255608256477,0.0009061108915102859,-0.10714285714285714,-0.05026333870745855,-0.048407115703118134,0.025371104962288005,-3.0,-1.4073734838088394,1,False,True,1764250222.0607934
42,81,-0.0016144267231068955,-0.0012395700651515375,0.0,-0.038093026581192985,-0.13076856457165853,-0.10040517527727455,0.0,-3.0855351530766315,0,False,True,1764250254.756461
43,119,-0.003375836710604411,-0.0047804921686674575,-0.025210084033613446,-0.02352719900805301,-0.4017245685619249,-0.5688785680714274,-3.0,-2.799736681958308,1,False,True,1764250368.6994205
44,76,-0.003842527468414134,-0.006341690326625726,-0.15789473684210525,-0.06254668601435333,-0.2920320875994742,-0.48196846482355515,-12.0,-4.753548137090853,4,False,True,1764250393.2348008
45,69,-0.0028280605861765317,-0.002085937658204152,-0.043478260869565216,-0.02673678271344332,-0.1951361804461807,-0.1439296984160865,-3.0,-1.844838007227589,1,False,True,1764250417.9144256
46,49,-0.0027391671646797874,-0.00274323885407815,-0.3673469387755102,-0.02278330128290755,-0.13421919106930957,-0.13441870384982935,-18.0,-1.11638176286247,6,False,True,1764250448.7082121
47,82,-0.003260609574350379,-0.004146462222316205,-0.18292682926829268,-0.08152861356522512,-0.2673699850967311,-0.3400099022299288,-15.0,-6.68534631234846,5,False,True,1764250484.7198267
48,12,-0.0030586966476823982,-0.0025299727801857317,0.0,0.0,-0.03670435977218878,-0.03035967336222878,0.0,0.0,0,False,True,1764250506.6162188
49,87,-0.003263289302806724,-0.004649544639746649,-0.034482758620689655,-0.025126209220418767,-0.283906169344185,-0.40451038365795844,-3.0,-2.1859802021764327,1,False,True,1764250546.4692276
50,62,-0.003273551399265425,-0.0028859197514317985,0.0,-0.02276810323526561,-0.20296018675445635,-0.17892702458877152,0.0,-1.411622400586468,0,False,True,1764250571.8042147
51,102,-0.003618608625202052,-0.0046211779110926525,-0.029411764705882353,-0.0741626618958964,-0.3690980797706093,-0.47136014693145056,-3.0,-7.5645915133814325,1,False,True,1764250604.7516124
52,58,-0.002548589309140624,-0.00046481431912800866,0.0,-0.026187269660661712,-0.1478181799301562,-0.026959230509424503,0.0,-1.5188616403183792,0,False,True,1764250640.142969
53,87,-0.0031188441351475446,-0.0024390686831632737,-0.1724137931034483,-0.06560764449342928,-0.27133943975783636,-0.21219897543520483,-15.0,-5.707865070928348,5,False,True,1764250668.1494055
54,64,-0.0033128143066526484,-0.0037819171010948175,-0.046875,-0.03714649866296143,-0.2120201156257695,-0.24204269447006832,-3.0,-2.3773759144295314,1,False,True,1764250688.6358309
