episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,mean_reward_path_efficiency,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,sum_reward_path_efficiency,total_intrusions,terminated_waypoint,truncated,finished_at
1,64,-0.0029643139300571,0.11541514956531745,-1.5,0.0,-0.1897160915236544,7.386569572180317,-96.0,0.0,8,True,False,1764321216.0379763
2,30,-0.0020609430855729072,0.03530391650840618,0.0,0.0,-0.06182829256718722,1.0591174952521856,0.0,0.0,0,False,True,1764321216.785641
3,74,-0.0025487115035948203,0.1069341036923957,-2.27027027027027,0.0,-0.1886046512660167,7.913123673237282,-168.0,0.0,14,True,False,1764321218.7186334
4,47,-0.0031163355371895277,0.03556567087334959,-1.7872340425531914,0.0,-0.1464677702479078,1.6715865310474305,-84.0,0.0,7,False,True,1764321219.703714
5,72,-0.003306466539968979,0.03601643508097227,0.0,0.0,-0.2380655908777665,2.5931833258300037,0.0,0.0,0,False,True,1764321221.4142072
6,54,-0.0029941354248692684,0.03618497692229218,0.0,0.0,-0.1616833129429405,1.9539887538037777,0.0,0.0,0,False,True,1764321222.3855257
7,83,-0.0032667953580756384,0.03769678902683556,-1.1566265060240963,0.0,-0.271144014720278,3.1288334892273517,-96.0,0.0,8,False,True,1764321223.827657
8,69,-0.0028361118584663138,0.038443935305944296,-1.0434782608695652,0.0,-0.19569171823417564,2.6526315361101567,-72.0,0.0,6,False,True,1764321224.914012
9,37,-0.0027760033459105758,0.16889974996378004,0.0,0.0,-0.1027121237986913,6.2492907486598614,0.0,0.0,0,True,False,1764321225.675681
10,88,-0.0031041867259804378,0.03838905333676101,-0.9545454545454546,0.0,-0.27316843188627854,3.378236693634969,-84.0,0.0,7,False,True,1764321227.3718686
11,36,-0.0032074580140900063,0.03157819321767264,0.0,0.0,-0.11546848850724023,1.136814955836215,0.0,0.0,0,False,True,1764321228.0683565
12,30,-0.003035127833938303,0.19789221075159572,-1.6,0.0,-0.09105383501814908,5.9367663225478715,-48.0,0.0,4,True,False,1764321229.175591
13,28,-0.002371278860406837,0.2108629211639807,0.0,0.0,-0.06639580809139144,5.904161792591459,0.0,0.0,0,True,False,1764321230.5623753
14,80,-0.002880761676741755,0.03914259832444679,-0.6,0.0,-0.2304609341393404,3.131407865955743,-48.0,0.0,4,False,True,1764321232.729442
15,79,-0.003020595348155968,0.03810578441780338,-0.3037974683544304,0.0,-0.23862703250432146,3.010356969006467,-24.0,0.0,2,False,True,1764321234.2299314
16,41,-0.0025305641852910172,0.03629164128768439,-2.048780487804878,0.0,-0.10375313159693171,1.48795729279506,-84.0,0.0,7,False,True,1764321235.1655169
17,80,-0.003641688256178425,0.03514260006967247,-1.95,0.0,-0.291335060494274,2.8114080055737976,-156.0,0.0,13,False,True,1764321236.8486302
18,95,-0.002619049081236857,0.040682507138691794,-0.5052631578947369,0.0,-0.2488096627175014,3.8648381781757206,-48.0,0.0,4,False,True,1764321238.352778
19,81,-0.003018291669547876,0.038739930847030875,-0.7407407407407407,0.0,-0.24448162523337796,3.137934398609501,-60.0,0.0,5,False,True,1764321239.4399526
20,78,-0.00382147664407254,0.034798640776567344,-1.3846153846153846,0.0,-0.2980751782376581,2.714293980572253,-108.0,0.0,9,False,True,1764321240.6740713
21,30,-0.0031122664197553262,0.19745710635281277,-1.6,0.0,-0.0933679925926598,5.923713190584383,-48.0,0.0,4,True,False,1764321241.3928988
22,42,-0.0029331517224571437,0.15326416417415178,0.0,0.0,-0.12319237234320003,6.437094895314375,0.0,0.0,0,True,False,1764321242.7043848
23,102,-0.0030008805381705,0.03924419094016823,-2.3529411764705883,0.0,-0.306089814893391,4.0029074758971595,-240.0,0.0,20,False,True,1764321244.7231078
24,98,-0.0029171069006161936,0.03963557132423236,-0.7346938775510204,0.0,-0.285876476260387,3.8842859897747712,-72.0,0.0,6,False,True,1764321246.0021734
25,92,-0.003287040732930769,0.037650859262284536,-0.6521739130434783,0.0,-0.3024077474296308,3.4638790521301774,-60.0,0.0,5,False,True,1764321247.3109536
26,79,-0.0032766139557034502,0.037158223311754,-0.759493670886076,0.0,-0.25885250250057257,2.935499641628566,-60.0,0.0,5,False,True,1764321248.6758351
27,101,-0.003192198698904144,0.038678546850878515,-0.594059405940594,0.0,-0.32241206858931853,3.90653323193873,-60.0,0.0,5,False,True,1764321250.0241394
28,79,-0.002801416024317143,0.03934584153724473,-6.8354430379746836,0.0,-0.2213118659210543,3.1083214814423332,-540.0,0.0,45,False,True,1764321251.394666
29,70,-0.0028680082677447235,0.03851760475778779,-3.6,0.0,-0.20076057874213066,2.696232333045145,-252.0,0.0,21,False,True,1764321252.7077522
30,72,-0.00313380546167432,0.03748807427781747,-0.5,0.0,-0.22563399324055103,2.6991413480028577,-36.0,0.0,3,False,True,1764321253.9098854
