iteration,avg_reward,avg_length,avg_intrusions,waypoint_rate
500,-177.634,139.3,20.8,0.4633
1000,-99.388,105.43,14.43,0.5533
1500,-97.677,190.9,18.8,0.5717
2000,-29.985,207.03,14.63,0.5983
2500,-33.724,202.13,13.83,0.645
3000,-142.07,195.1,22.5,0.5333
3500,-101.357,299.27,13.83,0.28
4000,17.763,160.7,9.07,0.6683
4500,-52.128,148.43,15.23,0.5733
5000,35.845,139.43,7.93,0.6117
5500,-75.212,166.13,15.3,0.6683
6000,-113.304,189.8,21.77,0.5467
6500,64.784,187.73,7.7,0.7183
7000,154.33,175.87,3.63,0.7917
7500,240.338,190.03,0.8,0.7117
8000,226.748,178.23,2.27,0.8017
8500,250.598,206.7,4.97,0.55
9000,220.668,187.7,6.03,0.7817
9500,311.426,222.57,3.43,0.8767
10000,278.544,232.03,6.97,0.8317
