episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,mean_reward_path_efficiency,mean_reward_boundary,mean_reward_step,mean_reward_proximity,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,sum_reward_path_efficiency,sum_reward_boundary,sum_reward_step,sum_reward_proximity,total_intrusions,terminated_waypoint,terminated_collision,truncated,finished_at
1,50,-0.003599631053657118,0.00377619094271072,-0.3,0.0,0.0,-0.005000000000000002,0.07240664314007153,-0.1799815526828559,0.188809547135536,-15.0,0.0,0.0,-0.2500000000000001,3.6203321570035767,1,False,True,False,1764587944.194372
2,99,-0.006520955806986406,-0.007152753062898653,0.0,0.0,-0.020202020202020204,-0.005000000000000004,0.006461392862251006,-0.6455746248916542,-0.7081225532269666,0.0,0.0,-2.0,-0.49500000000000033,0.6396778933628495,0,False,False,True,1764587956.3361473
3,111,-0.003673524955276995,0.004571418806472829,0.0,0.0,-0.018018018018018018,-0.005000000000000004,0.12271274851089534,-0.40776127003574647,0.5074274875184841,0.0,0.0,-2.0,-0.5550000000000004,13.621115084709382,0,False,False,True,1764587968.7951021
4,7,-0.0035209407225002577,0.004577880376345727,-2.142857142857143,0.0,0.0,-0.005,0.4988131509185353,-0.024646585057501804,0.03204516263442009,-15.0,0.0,0.0,-0.035,3.491692056429747,1,False,True,False,1764587969.433484
5,12,-0.0014048564259297196,0.010150968234582688,-1.25,0.0,0.0,-0.004999999999999999,0.11120876726614655,-0.016858277111156634,0.12181161881499225,-15.0,0.0,0.0,-0.05999999999999999,1.3345052071937586,1,False,True,False,1764587978.5645492
6,92,-0.00429190114274718,0.001145292265823843,-0.16304347826086957,0.0,0.0,-0.005000000000000004,0.024789020159476965,-0.3948549051327406,0.10536688845579356,-15.0,0.0,0.0,-0.4600000000000003,2.280589854671881,1,False,True,False,1764588012.4750657
7,29,-0.0026255926318420023,0.006481347882276554,0.0,0.0,0.0,-0.005000000000000002,0.1604199255452003,-0.07614218632341807,0.18795908858602006,0.0,0.0,0.0,-0.14500000000000005,4.6521778408108085,0,False,True,False,1764588040.50692
8,125,-0.0019115841044448545,0.02191992080835138,0.0,0.0,0.0,-0.005000000000000004,0.0030715834123949525,-0.2389480130556068,2.7399901010439227,0.0,0.0,0.0,-0.6250000000000004,0.38394792654936905,0,True,False,False,1764588074.0412283
9,198,-0.0033891271629509154,0.0035089803101954592,-0.9090909090909091,0.0,-0.010101010101010102,-0.005000000000000004,0.1620061263495685,-0.6710471782642813,0.6947781014187009,-180.0,0.0,-2.0,-0.9900000000000008,32.07721301721457,12,False,False,True,1764588102.4302487
10,44,-0.0027598682262638175,0.00857930043510775,0.0,0.0,-0.045454545454545456,-0.005000000000000003,0.0,-0.12143420195560797,0.377489219144741,0.0,0.0,-2.0,-0.2200000000000001,0.0,0,False,False,True,1764588106.8916583
11,148,-0.00261499821476744,0.00606702698258943,0.0,0.0,0.0,-0.005000000000000004,0.02252643994606337,-0.3870197357855811,0.8979199934232356,0.0,0.0,0.0,-0.7400000000000005,3.3339131120173784,0,False,True,False,1764588134.0502646
12,23,-0.0046173215618574345,0.000719672703514961,0.0,0.0,0.0,-0.005000000000000002,0.0999507400113063,-0.10619839592272098,0.016552472180844102,0.0,0.0,0.0,-0.11500000000000003,2.2988670202600447,0,False,True,False,1764588136.2952397
13,27,-0.0018127008421794965,0.008523210678688857,-0.5555555555555556,0.0,0.0,-0.005000000000000001,0.0718804264876436,-0.04894292273884641,0.23012668832459915,-15.0,0.0,0.0,-0.13500000000000004,1.9407715151663774,1,False,True,False,1764588155.8775015
14,25,-0.002698575104681621,0.004459316634943042,-0.6,0.0,0.0,-0.005000000000000001,0.08592341865794598,-0.06746437761704052,0.11148291587357606,-15.0,0.0,0.0,-0.12500000000000003,2.1480854664486495,1,False,True,False,1764588165.9954317
15,12,-0.001021790260526316,0.009165202460718133,-1.25,0.0,0.0,-0.004999999999999999,0.23059601176574177,-0.012261483126315793,0.10998242952861759,-15.0,0.0,0.0,-0.05999999999999999,2.7671521411889013,1,False,True,False,1764588175.2009797
16,82,-0.00282776614869447,0.007834785165338204,0.0,0.0,-0.024390243902439025,-0.005000000000000003,0.055631640549724186,-0.23187682419294656,0.6424523835577327,0.0,0.0,-2.0,-0.41000000000000025,4.561794525077383,0,False,False,True,1764588210.099307
17,23,-0.0026604149696866724,0.0059070001237278786,-0.6521739130434783,0.0,0.0,-0.005000000000000002,0.10776206603395899,-0.06118954430279347,0.1358610028457412,-15.0,0.0,0.0,-0.11500000000000003,2.478527518781057,1,False,True,False,1764588216.753905
18,28,-0.0022036980154132063,0.008788102921872373,0.0,0.0,0.0,-0.005000000000000002,0.12985393900803543,-0.06170354443156978,0.24606688181242642,0.0,0.0,0.0,-0.14000000000000004,3.635910292224992,0,False,True,False,1764588247.339423
19,38,-0.0023591473512392814,0.004994427761300315,0.0,0.0,0.0,-0.005000000000000002,0.06317881066293352,-0.0896475993470927,0.18978825492941198,0.0,0.0,0.0,-0.19000000000000009,2.400794805191474,0,False,True,False,1764588261.7235317
20,4,-0.0014324993700577228,0.008593605877166524,-3.75,0.0,0.0,-0.005,0.5215459512252356,-0.005729997480230891,0.034374423508666097,-15.0,0.0,0.0,-0.02,2.0861838049009425,1,False,True,False,1764588275.533098
21,32,-0.0012990230693042887,0.07548127815854491,0.0,0.0,0.0,-0.005000000000000002,0.0,-0.04156873821773724,2.415400901073437,0.0,0.0,0.0,-0.16000000000000006,0.0,0,True,False,False,1764588289.29745
22,109,-0.0013964705924047476,0.008114226831796127,0.0,0.0,0.0,-0.005000000000000004,0.132673605904199,-0.1522152945721175,0.8844507246657778,0.0,0.0,0.0,-0.5450000000000004,14.46142304355769,0,False,True,False,1764588310.8768227
23,68,-0.0017306337220346518,0.03658318677274804,0.0,0.0,0.0,-0.005000000000000003,0.013066129128795243,-0.11768309309835633,2.487656700546867,0.0,0.0,0.0,-0.3400000000000002,0.8884967807580765,0,True,False,True,1764588325.904482
24,72,-0.0010663076381741089,0.01625482137389001,0.0,0.0,-0.027777777777777776,-0.005000000000000003,0.0,-0.07677414994853585,1.1703471389200806,0.0,0.0,-2.0,-0.3600000000000002,0.0,0,False,False,True,1764588342.1163995
25,148,-0.0019844553847173678,0.006806340168949021,0.0,0.0,0.0,-0.005000000000000004,0.2843171992730901,-0.29369939693817043,1.007338345004455,0.0,0.0,0.0,-0.7400000000000005,42.07894549241734,0,False,True,False,1764588359.497497
26,88,-0.0022938466505636143,0.03306826941934843,0.0,0.0,0.0,-0.005000000000000004,0.21889185145850243,-0.20185850524959806,2.9100077089026617,0.0,0.0,0.0,-0.4400000000000003,19.262482928348213,0,True,False,False,1764588369.5779822
27,73,-0.0041070579174599655,0.0014002581108336022,0.0,0.0,0.0,-0.005000000000000003,0.2966529299373047,-0.2998152279745775,0.10221884209085297,0.0,0.0,0.0,-0.3650000000000002,21.65566388542324,0,False,True,False,1764588385.8580985
