episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,mean_reward_path_efficiency,mean_reward_boundary,mean_reward_step,mean_reward_proximity,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,sum_reward_path_efficiency,sum_reward_boundary,sum_reward_step,sum_reward_proximity,total_intrusions,terminated_waypoint,terminated_collision,truncated,finished_at
1,144,-0.004957977280290035,-0.0017650262505687878,0.0,0.0,-0.013888888888888888,-0.005000000000000004,0.2112937402255508,-0.713948728361765,-0.25416378008190543,0.0,0.0,-2.0,-0.7200000000000005,30.426298592479316,0,False,False,True,1764700468.4841466
2,3,-0.0006684900129681924,0.009869189275678739,-5.0,0.0,0.0,-0.005,0.5680310096314231,-0.002005470038904577,0.02960756782703622,-15.0,0.0,0.0,-0.015,1.704093028894269,1,False,True,False,1764700472.1745896
3,149,-0.0026541665850912228,0.010161452951487883,0.0,0.0,-0.013422818791946308,-0.005000000000000004,0.11485721934280455,-0.3954708211785922,1.5140564897716946,0.0,0.0,-2.0,-0.7450000000000006,17.113725682077877,0,False,False,True,1764700489.3032055
4,27,-0.0032855101122077532,0.003237425469379506,0.0,0.0,0.0,-0.005000000000000001,0.10645007532321214,-0.08870877302960933,0.08741048767324666,0.0,0.0,0.0,-0.13500000000000004,2.8741520337267277,0,False,True,False,1764700508.6228352
5,25,-0.0031889850033657474,0.003064455372574413,0.0,0.0,-0.08,-0.005000000000000001,0.0,-0.07972462508414369,0.07661138431436032,0.0,0.0,-2.0,-0.12500000000000003,0.0,0,False,False,True,1764700557.9843583
6,26,-0.005079671751687055,-0.002231048338677676,0.0,0.0,-0.07692307692307693,-0.005000000000000001,0.0,-0.13207146554386343,-0.05800725680561958,0.0,0.0,-2.0,-0.13000000000000003,0.0,0,False,False,True,1764700599.1335058
7,8,-0.0010071850514573378,0.012375616647436471,-1.875,0.0,0.0,-0.005,0.3107929813126389,-0.008057480411658702,0.09900493317949177,-15.0,0.0,0.0,-0.04,2.486343850501111,1,False,True,False,1764700645.3805323
8,40,-0.0014846448309222711,0.010604501534622645,0.0,0.0,-0.05,-0.005000000000000003,1.7595753001767493e-05,-0.059385793236890846,0.4241800613849058,0.0,0.0,-2.0,-0.2000000000000001,0.0007038301200706997,0,False,False,True,1764700680.5182161
9,50,-0.0037727160910781205,0.00361529670367829,0.0,0.0,-0.04,-0.005000000000000002,0.0023388818288953314,-0.18863580455390602,0.1807648351839145,0.0,0.0,-2.0,-0.2500000000000001,0.11694409144476657,0,False,False,True,1764700711.156478
10,48,-0.0016097254919792885,0.005670871305436899,-0.3125,0.0,0.0,-0.005000000000000003,0.05327160588497126,-0.07726682361500585,0.27220182266097115,-15.0,0.0,0.0,-0.24000000000000013,2.5570370824786206,1,False,True,False,1764700739.7840083
11,20,-0.002327153727065049,0.005012612143344785,0.0,0.0,0.0,-0.005000000000000001,0.26997383953360343,-0.04654307454130098,0.10025224286689571,0.0,0.0,0.0,-0.10000000000000002,5.399476790672068,0,False,True,False,1764700765.3553472
12,31,-0.0016921995498409537,0.009772760421233909,0.0,0.0,0.0,-0.005000000000000002,0.10385188770451872,-0.05245818604506956,0.30295557305825116,0.0,0.0,0.0,-0.15500000000000005,3.2194085188400803,0,False,True,False,1764700807.449122
13,11,-0.0011469269058612297,0.01373745035217665,-1.3636363636363635,0.0,0.0,-0.004999999999999999,0.12931369140798352,-0.012616195964473527,0.15111195387394316,-15.0,0.0,0.0,-0.05499999999999999,1.4224506054878188,1,False,True,False,1764700818.4657826
14,15,-0.0008019058124725108,0.012270147824057295,-1.0,0.0,0.0,-0.005,0.231264593617582,-0.012028587187087662,0.18405221736085942,-15.0,0.0,0.0,-0.075,3.46896890426373,1,False,True,False,1764700852.7896218
15,9,-0.0029877897222417046,0.0038846601215394047,-1.6666666666666667,0.0,0.0,-0.005,0.5439948813555999,-0.026890107500175342,0.03496194109385464,-15.0,0.0,0.0,-0.045,4.895953932200399,1,False,True,False,1764700892.5348165
16,40,-0.0008328640530601801,0.06512521313891415,0.0,0.0,0.0,-0.005000000000000003,0.0,-0.0333145621224072,2.6050085255565656,0.0,0.0,0.0,-0.2000000000000001,0.0,0,True,False,False,1764700923.804852
17,14,-0.0024009693617319146,0.008141760975241124,-1.0714285714285714,0.0,0.0,-0.004999999999999999,0.13895685689751597,-0.033613571064246804,0.11398465365337573,-15.0,0.0,0.0,-0.06999999999999999,1.9453959965652237,1,False,True,False,1764700938.066753
18,2,-0.0019176048384190415,0.008561338546194897,-7.5,0.0,0.0,-0.005,0.8800870400120209,-0.003835209676838083,0.017122677092389793,-15.0,0.0,0.0,-0.01,1.7601740800240417,1,False,True,False,1764700973.651421
19,45,-0.0022978622869786304,0.007287724037645612,-2.0,0.0,0.0,-0.005000000000000003,0.2834320398110511,-0.10340380291403836,0.3279475816940525,-90.0,0.0,0.0,-0.22500000000000012,12.754441791497298,6,False,True,False,1764701003.4610863
20,24,-0.002593171838136118,0.004398846655223103,-0.625,0.0,0.0,-0.005000000000000002,0.33311857834547176,-0.06223612411526683,0.10557231972535447,-15.0,0.0,0.0,-0.12000000000000004,7.994845880291322,1,False,True,False,1764701027.6368575
21,10,-0.0011024769607990573,0.010230397345305998,-1.5,0.0,0.0,-0.004999999999999999,0.33898963532769416,-0.011024769607990573,0.10230397345305997,-15.0,0.0,0.0,-0.049999999999999996,3.3898963532769417,1,False,True,False,1764701055.4424026
22,21,-0.0010407694870435914,0.008203767434557323,-9.285714285714286,0.0,0.0,-0.005000000000000001,0.6715796612520792,-0.02185615922791542,0.1722791161257038,-195.0,0.0,0.0,-0.10500000000000002,14.103172886293663,13,False,True,False,1764701128.8337395
23,29,-0.001382251113342974,0.01574283895801565,0.0,0.0,-0.06896551724137931,-0.005000000000000002,0.0,-0.040085282286946244,0.45654232978245385,0.0,0.0,-2.0,-0.14500000000000005,0.0,0,False,False,True,1764701153.7099695
24,5,-0.0015702017587690981,0.00907551838104934,-3.0,0.0,0.0,-0.005,0.39019498855460755,-0.00785100879384549,0.045377591905246706,-15.0,0.0,0.0,-0.025,1.9509749427730378,1,False,True,False,1764701176.0719867
25,123,-0.0019373083678313262,0.00964915813587164,0.0,0.0,-0.016260162601626018,-0.005000000000000004,0.34488794677100976,-0.23828892924325312,1.1868464507122116,0.0,0.0,-2.0,-0.6150000000000004,42.4212174528342,0,False,False,True,1764701212.123335
26,5,-0.0008180033309330585,0.007775408003285999,-3.0,0.0,0.0,-0.005,0.5398353365538219,-0.004090016654665293,0.03887704001643,-15.0,0.0,0.0,-0.025,2.6991766827691093,1,False,True,False,1764701216.0271554
27,88,-0.007485294326955944,-0.012989921708289278,-0.5113636363636364,0.0,-0.022727272727272728,-0.005000000000000004,0.09814011650379525,-0.6587059007721231,-1.1431131103294565,-45.0,0.0,-2.0,-0.4400000000000003,8.636330252333982,3,False,False,True,1764701257.1561568
28,128,-0.0014796146139751582,0.007792322913859611,0.0,0.0,0.0,-0.005000000000000004,0.017121312199930475,-0.18939067058882025,0.9974173329740302,0.0,0.0,0.0,-0.6400000000000005,2.1915279615911007,0,False,True,False,1764701288.8516629
29,104,-0.001990671314145053,0.027177146558066523,0.0,0.0,0.0,-0.005000000000000004,0.18055663996074617,-0.20702981667108553,2.8264232420389184,0.0,0.0,0.0,-0.5200000000000004,18.7778905559176,0,True,False,False,1764701305.9124742
30,188,-0.0028204254731236116,0.007200580192315953,-0.3191489361702128,0.0,-0.010638297872340425,-0.005000000000000004,0.1314695203156012,-0.530239988947239,1.3537090761553991,-60.0,0.0,-2.0,-0.9400000000000007,24.716269819333025,4,False,False,True,1764701357.2049928
31,41,-0.001222051029325989,0.06369074535645708,0.0,0.0,0.0,-0.005000000000000003,0.0,-0.05010409220236555,2.6113205596147404,0.0,0.0,0.0,-0.2050000000000001,0.0,0,True,False,False,1764701362.9440553
32,34,-0.0027152129752038893,0.004846957544042825,-2.6470588235294117,0.0,0.0,-0.005000000000000002,0.42672805901363436,-0.09231724115693224,0.16479655649745606,-90.0,0.0,0.0,-0.17000000000000007,14.508754006463569,6,False,True,False,1764701386.9018712
