episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,mean_reward_proximity,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,sum_reward_proximity,total_intrusions,terminated_waypoint,truncated,finished_at
1,143,-0.0004715114242583307,0.0026802181776671,0.0,0.0,-0.06742613366894129,0.3832711994063953,0.0,0.0,0,False,True,1762515413.5566516
2,108,-0.0008782256517580739,0.006511649279863022,-0.027777777777777776,-0.017621530574118676,-0.09484837038987198,0.7032581222252063,-3.0,-1.903125302004817,1,False,True,1762515413.804991
3,56,-0.00026358412599849433,0.005611425804953325,0.0,0.0,-0.014760711055915681,0.3142398450773862,0.0,0.0,0,True,False,1762515414.1487486
4,122,-0.0019683951502994213,-0.00017030309157681724,-0.07377049180327869,-0.026064821094358277,-0.24014420833652939,-0.020776977172371702,-9.0,-3.1799081735117096,3,False,True,1762515414.9685094
5,327,-0.0019072507484874481,-0.0006193532628699981,0.0,-0.013642016945191128,-0.6236709947553956,-0.2025285169584894,0.0,-4.460939541077499,0,False,True,1762515415.5836468
6,76,-0.0009343038368014589,0.004081211738438111,0.0,0.0,-0.07100709159691088,0.3101720921212965,0.0,0.0,0,False,True,1762515415.774385
7,107,-0.00035348551441665316,0.004546255593554418,0.0,0.0,-0.03782295004258189,0.48644934851032273,0.0,0.0,0,True,False,1762515416.3280308
8,129,-0.0011902098532631383,0.0014205734218640609,0.0,0.0,-0.15353707107094486,0.18325397142046385,0.0,0.0,0,False,True,1762515417.03542
9,66,-0.000829047096009705,0.0023486620684822915,-0.045454545454545456,-0.03874640970174528,-0.054717108336640535,0.15501169651983124,-3.0,-2.557263040315189,1,False,True,1762515417.2665303
10,73,-0.0006007273172395182,0.006409269869607339,0.0,0.0,-0.04385309415848483,0.4678767004813357,0.0,0.0,0,False,True,1762515417.6661727
11,134,-0.001572458261853459,0.0010424293051868644,-0.022388059701492536,-0.025588567482103478,-0.2107094070883635,0.13968552689503982,-3.0,-3.428868042601866,1,False,True,1762515418.3257911
12,110,-0.001591802991403904,0.0009819559246653435,-0.05454545454545454,-0.01646746748708237,-0.17509832905442946,0.10801515171318779,-6.0,-1.8114214235790609,2,False,True,1762515418.7950814
13,74,-0.0008673526142422774,0.0036490547728423245,-0.04054054054054054,-0.01599516790088847,-0.06418409345392853,0.270030053190332,-3.0,-1.1836424246657467,1,False,True,1762515419.076496
14,114,-0.0010506975537085794,0.005080173588042532,0.0,0.0,-0.11977952112277804,0.5791397890368486,0.0,0.0,0,False,True,1762515419.8794475
15,85,-0.0012655773983274907,0.0014293519026998152,0.0,0.0,-0.10757407885783671,0.12149491172948429,0.0,0.0,0,False,True,1762515420.1892843
16,57,-0.0003342885084959439,-0.002716930871958643,0.0,0.0,-0.019054444984268802,-0.15486505970164266,0.0,0.0,0,False,True,1762515420.4636254
17,171,-0.0014828967046645884,-6.645582104486889e-05,-0.017543859649122806,-0.029835506961274932,-0.25357533649764463,-0.011363945398672581,-3.0,-5.1018716903780135,1,False,True,1762515421.3470926
18,70,-0.000577914280885709,0.0037570848817261296,0.0,0.0,-0.04045399966199963,0.2629959417208291,0.0,0.0,0,False,True,1762515421.8222916
19,117,-0.0010199360394285348,0.001275088316456843,0.0,0.0,-0.11933251661313857,0.14918533302545062,0.0,0.0,0,False,True,1762515422.2783244
20,67,-0.0009739424956381298,0.004205385987970333,-0.08955223880597014,-0.03919594122435778,-0.0652541472077547,0.28176086119401234,-6.0,-2.626128062031971,2,False,True,1762515422.4986916
21,116,-0.0011950818119471555,0.0009305094927109897,0.0,-0.03644602803941187,-0.13862949018587004,0.1079391011544748,0.0,-4.2277392525717765,0,False,True,1762515423.3402162
22,387,-0.000860304293483872,0.0021344785544665725,-0.007751937984496124,-0.0029890475609514054,-0.33293776157825844,0.8260432005785636,-3.0,-1.1567614060881939,1,False,True,1762515424.3053405
23,83,-0.0004241956429072855,0.0035658658524639836,0.0,0.0,-0.0352082383613047,0.29596686575451064,0.0,0.0,0,False,True,1762515424.5234926
24,94,-0.0010126076636882493,0.002819373004087138,0.0,-7.801177318434512e-05,-0.09518512038669544,0.265021062384191,0.0,-0.007333106679328441,0,False,True,1762515424.89851
25,398,-0.0019938601616205976,3.563849488548104e-05,0.0,-0.004454095233912664,-0.7935563443249978,0.014184120964421454,0.0,-1.7727299030972403,0,False,True,1762515425.907809
26,35,-0.0005094328991740104,0.006471691102057189,0.0,0.0,-0.017830151471090364,0.2265091885720016,0.0,0.0,0,True,False,1762515426.003996
27,40,-0.00046853133333702324,-0.001966032981871824,0.0,0.0,-0.01874125333348093,-0.07864131927487295,0.0,0.0,0,False,True,1762515426.6942909
28,119,-0.0013191056544030056,0.0018491456984559096,-0.025210084033613446,-0.013131978705075181,-0.15697357287395766,0.22004833811625324,-3.0,-1.5627054659039465,1,False,True,1762515427.2174363
29,127,-0.0008688600937234657,0.00513972113522035,0.0,0.0,-0.11034523190288013,0.6527445841729845,0.0,0.0,0,False,True,1762515427.5541725
30,114,-0.0011566603507367356,0.0027623515841549554,0.0,0.0,-0.13185927998398786,0.31490808059366493,0.0,0.0,0,False,True,1762515427.871327
