episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,finished_at,pid,agent
1,2,-0.0783768789156736,0.0,0.0,-0.1567537578313473,0.0,0.0,1761039014.7697065,pid_29628,KL006
1,3,-0.1084333461867429,0.0,0.0,-0.3253000385602288,0.0,0.0,1761039014.773707,pid_23264,KL003
1,2,-0.1238664884009239,0.0,0.0,-0.2477329768018478,0.0,0.0,1761039014.7757049,pid_8616,KL005
1,2,-0.0872608513549063,0.0,0.0,-0.1745217027098127,0.0,0.0,1761039014.783221,pid_20272,KL004
1,4,-0.0506864780052093,0.0,0.0,-0.2027459120208373,0.0,0.0,1761039014.8022635,pid_34704,KL005
1,4,-0.1254526927623142,0.0,0.0,-0.5018107710492568,0.0,0.0,1761039014.8032622,pid_16000,KL004
1,4,-0.0796940716094331,0.0,0.0,-0.3187762864377326,0.0,0.0,1761039014.805262,pid_29116,KL003
1,5,-0.1146026058587906,0.0,0.0,-0.5730130292939533,0.0,0.0,1761039014.8092644,pid_26880,KL005
1,6,-0.0756064697074661,0.0,0.0,-0.4536388182447969,0.0,0.0,1761039014.8142626,pid_4080,KL003
1,5,-0.2044332024350033,0.0,0.0,-1.022166012175017,0.0,0.0,1761039014.8272622,pid_8616,KL003
1,6,-0.0901045929703634,0.0,0.0,-0.5406275578221807,0.0,0.0,1761039014.8384926,pid_17892,KL002
1,8,-0.1009893378292587,0.0,0.0,-0.8079147026340703,0.0,0.0,1761039014.8445714,pid_4080,KL004
1,7,-0.1639291235081473,0.0,0.0,-1.1475038645570317,0.0,0.0,1761039014.852088,pid_17892,KL003
1,7,-0.169620381628546,0.0,0.0,-1.1873426713998223,0.0,0.0,1761039014.8540874,pid_25980,KL001
1,6,-0.1850331546426551,0.0,0.0,-1.1101989278559308,0.0,0.0,1761039014.8560872,pid_2040,KL004
1,7,-0.0522528548766161,0.1428571428571428,0.0,-0.3657699841363133,1.0,0.0,1761039014.8590865,pid_8616,KL004
1,9,-0.16427472934632,0.0,0.0,-1.47847256411688,0.0,0.0,1761039014.8630872,pid_26880,KL003
1,8,-0.0899530739386136,0.0,-0.125,-0.7196245915089095,0.0,-1.0,1761039014.8650937,pid_17892,KL006
1,9,-0.0572442321257252,0.0,0.0,-0.5151980891315273,0.0,0.0,1761039014.876093,pid_17892,KL005
1,12,-0.1103719781677322,0.0,0.0,-1.3244637380127866,0.0,0.0,1761039014.8991342,pid_4080,KL001
1,11,-0.110241842452734,0.0,-0.2727272727272727,-1.2126602669800748,0.0,-3.0,1761039014.9011438,pid_29116,KL002
1,9,-0.0883599805090945,0.0,0.0,-0.7952398245818508,0.0,0.0,1761039014.910979,pid_2040,KL006
1,13,-0.1770899070041332,0.0,0.0,-2.3021687910537323,0.0,0.0,1761039014.917498,pid_24992,KL004
1,12,-0.0763705024064295,0.0,0.0,-0.916446028877154,0.0,0.0,1761039014.917498,pid_23264,KL006
1,12,-0.1982296016587911,0.0,-0.1666666666666666,-2.3787552199054938,0.0,-2.0,1761039014.9254978,pid_32348,KL005
1,14,-0.0847684082747414,0.0,0.0,-1.1867577158463805,0.0,0.0,1761039014.9325068,pid_24992,KL001
