feature,index,min,max,mean,std,samples,episode_index
cos_drift,0,-0.9999998211860657,1.0,-0.2505294561289765,0.6879065648452586,232,1
sin_drift,1,-0.9987263083457947,0.9997326731681824,0.1595642266823719,0.6652111546016864,232,1
airspeed_norm,2,-2.868767023086548,3.422144651412964,-0.5434460806041144,1.0948859649164215,232,1
risk_0,3,0.014000000432133675,0.9838612079620361,0.0920660349676899,0.15785460056429126,232,1
risk_1,4,0.014000000432133675,0.20301982760429382,0.03222636488699837,0.02827653112002582,232,1
risk_2,5,0.014000000432133675,0.07742979377508163,0.021714344259415715,0.01772426719604348,232,1
x_r_0,6,-0.3702103793621063,0.4599061906337738,0.07859046288348477,0.18060132440131466,232,1
x_r_1,7,-0.3760388195514679,0.7389146089553833,0.09047635935311173,0.22632452331649314,232,1
x_r_2,8,-0.6431857943534851,0.33775708079338074,-0.16262383451524734,0.19180645226637313,232,1
y_r_0,9,-0.5504958629608154,0.7540735006332397,0.11987764668522466,0.2546644314973053,232,1
y_r_1,10,-0.5170707106590271,1.0790255069732666,0.14839902489921797,0.3916381593675848,232,1
y_r_2,11,-0.5245921611785889,1.5376721620559692,0.2672211452355159,0.4902112175051664,232,1
vx_r_0,12,-0.7153459191322327,0.6941218376159668,-0.0033460695469392826,0.28158744820637593,232,1
vx_r_1,13,-0.6500231027603149,0.8120301365852356,0.037728349589903294,0.30360814413417786,232,1
vx_r_2,14,-0.8120301365852356,0.9400792717933655,-0.07394439147901716,0.2866598999035864,232,1
vy_r_0,15,-1.284075140953064,1.284075140953064,-0.023246494998727912,0.34781129033498187,232,1
vy_r_1,16,-1.1318293809890747,1.2602028846740723,0.0284822546630588,0.31279446915244374,232,1
vy_r_2,17,-0.7589449882507324,1.235716462135315,0.10107103917709599,0.29384741813955023,232,1
cos_trk_0,18,-0.9999640583992004,0.9915786981582642,0.04651856444101657,0.6555294381432575,232,1
cos_trk_1,19,-0.9998278617858887,0.9999640583992004,0.0990509693029112,0.6941634145505932,232,1
cos_trk_2,20,-0.9999907612800598,0.9998278617858887,-0.2014368940465924,0.6500079532349403,232,1
sin_trk_0,21,-0.9999628663063049,0.9998952150344849,0.0009722871834346846,0.7565949144654156,232,1
sin_trk_1,22,-0.9995861053466797,0.9998523592948914,0.08913310058013503,0.7103755957109827,232,1
sin_trk_2,23,-0.9998523592948914,0.999931275844574,0.2963979905651849,0.672929495402708,232,1
dist_n_0,24,-0.9480794072151184,0.7665112614631653,-0.4229965896535356,0.3715552174450768,232,1
dist_n_1,25,-0.9397117495536804,1.615561842918396,-0.2325275836545596,0.5900891939605605,232,1
dist_n_2,26,-0.8770332932472229,2.2337048053741455,-0.014671902123092016,0.7255492241741232,232,1
cos_drift,0,-0.9999998211860657,1.0,-0.012072581481400205,0.7489087463844146,440,2
sin_drift,1,-0.9994273781776428,0.9999898076057434,0.13986398837604272,0.6493543077813502,440,2
airspeed_norm,2,-2.868767023086548,3.422144651412964,-0.38958699463136387,0.9709979781372629,440,2
risk_0,3,0.014000000432133675,0.9838612079620361,0.09095465689050876,0.16405190502875255,440,2
risk_1,4,0.014000000432133675,0.20301982760429382,0.029820625678720753,0.025625389748633685,440,2
risk_2,5,0.014000000432133675,0.07742979377508163,0.02027580804953521,0.016076911015186234,440,2
x_r_0,6,-0.6761527061462402,0.4599061906337738,0.016662931005174176,0.2049942319887688,440,2
x_r_1,7,-1.1006594896316528,0.7389146089553833,0.041112828106005556,0.29465663215686677,440,2
x_r_2,8,-0.9903369545936584,1.1813454627990723,-0.12216646138205602,0.3798197410511837,440,2
y_r_0,9,-1.1398370265960693,0.7540735006332397,0.01410271819569807,0.30115964839224796,440,2
y_r_1,10,-1.6276545524597168,1.0790255069732666,-0.10803972745171374,0.5301786555473369,440,2
y_r_2,11,-1.978200912475586,1.5376721620559692,-0.028241051359377347,0.6033098594105178,440,2
vx_r_0,12,-1.175107717514038,1.2627315521240234,-0.0069226837691200175,0.2994417712752102,440,2
vx_r_1,13,-1.1521426439285278,1.0556831359863281,0.07854575691404046,0.33042874532797906,440,2
vx_r_2,14,-1.2627315521240234,0.9400792717933655,-0.028904934886370644,0.3386485402295979,440,2
vy_r_0,15,-1.284075140953064,1.284075140953064,-0.03741837143302707,0.32781826575524814,440,2
vy_r_1,16,-1.1318293809890747,1.2602028846740723,-0.06270415097996275,0.3149043839154688,440,2
vy_r_2,17,-0.7589449882507324,1.235716462135315,0.003249549213664586,0.3198886848695503,440,2
cos_trk_0,18,-0.999986469745636,0.999986469745636,0.014702757435258146,0.6541019472274592,440,2
cos_trk_1,19,-0.9999961256980896,0.9999961256980896,0.19297646414237205,0.684932306045226,440,2
cos_trk_2,20,-0.9999907612800598,0.9998785853385925,-0.11245145414921531,0.6981737542567581,440,2
sin_trk_0,21,-0.9999978542327881,0.9999978542327881,-0.05139959930357614,0.7560184832702853,440,2
sin_trk_1,22,-0.9999999403953552,0.9998523592948914,-0.11341185281794013,0.6949311803599595,440,2
sin_trk_2,23,-0.9998523592948914,0.9999999403953552,0.06560342857211979,0.7055803044347476,440,2
dist_n_0,24,-0.9618920683860779,1.3823859691619873,-0.41967684362025537,0.4418681572955238,440,2
dist_n_1,25,-0.9397117495536804,2.9145336151123047,-0.024851599891131913,0.7563996373850222,440,2
dist_n_2,26,-0.8770332932472229,3.2054367065429688,0.17720209072566917,0.8408649346424136,440,2
cos_drift,0,-0.9999998211860657,1.0,0.0076094535524594805,0.728491447558176,769,3
sin_drift,1,-0.9999947547912598,0.9999898076057434,0.10425657255111165,0.6779828382517049,769,3
airspeed_norm,2,-2.868767023086548,3.422144651412964,-0.33062929709705957,0.8432521378425444,769,3
risk_0,3,0.014000000432133675,0.9838612079620361,0.09945631432328833,0.1792387592104899,769,3
risk_1,4,0.014000000432133675,0.6510661840438843,0.03174782187589507,0.0381779535027943,769,3
risk_2,5,0.014000000432133675,0.07742979377508163,0.021195332879401632,0.016909444663670597,769,3
x_r_0,6,-2.0966110229492188,0.840040922164917,-0.06258062850889809,0.3602957213567062,769,3
x_r_1,7,-1.9188950061798096,0.9831253886222839,0.02574269806445267,0.38726471326619855,769,3
x_r_2,8,-2.76816463470459,1.1813454627990723,-0.2653572092259512,0.6485244615142703,769,3
y_r_0,9,-1.2966091632843018,0.8747832179069519,0.026823847937174836,0.31884583311782727,769,3
y_r_1,10,-2.5224223136901855,1.0790255069732666,-0.1855848889759474,0.5918348123294318,769,3
y_r_2,11,-1.978200912475586,1.5376721620559692,0.01150218977305855,0.531075491496152,769,3
vx_r_0,12,-1.175107717514038,1.2627315521240234,-0.021506626103583542,0.313849458147731,769,3
vx_r_1,13,-1.2339680194854736,1.0556831359863281,0.03412019954949286,0.3394032680960477,769,3
vx_r_2,14,-1.29035222530365,1.29035222530365,-0.06160363583208704,0.35072654052417535,769,3
vy_r_0,15,-1.284075140953064,1.284075140953064,-0.03414823554699358,0.33504295200228695,769,3
vy_r_1,16,-1.1318293809890747,1.2602028846740723,-0.07296839353372012,0.33746668587468565,769,3
vy_r_2,17,-0.7589449882507324,1.235716462135315,0.023924406217541355,0.3283426338340453,769,3
cos_trk_0,18,-0.9999930262565613,0.999986469745636,-0.021007399161325643,0.6681976230697176,769,3
cos_trk_1,19,-0.9999961256980896,0.9999961256980896,0.0787115251801827,0.6977918507070633,769,3
cos_trk_2,20,-0.9999907612800598,0.9999930262565613,-0.16093393155488392,0.6974282774218752,769,3
sin_trk_0,21,-0.9999978542327881,0.9999978542327881,-0.042504754853319865,0.74334590066094,769,3
sin_trk_1,22,-0.9999999403953552,0.9999634027481079,-0.1311613103503214,0.7006849174506571,769,3
sin_trk_2,23,-0.9998719692230225,0.9999999403953552,0.06692624830408313,0.6960441609611965,769,3
dist_n_0,24,-0.9863130450248718,3.2180335521698,-0.2942800091966199,0.6676683729923315,769,3
dist_n_1,25,-0.9397117495536804,4.414480686187744,0.10657809085617659,0.956797106369666,769,3
