episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,finished_at
1,4,-0.08129624170047206,0.0,0.0,-0.32518496680188824,0.0,0.0,1761045141.4357762
2,10,-0.04352187916636364,0.0,0.0,-0.43521879166363636,0.0,0.0,1761045147.6869051
3,28,-0.018524476790985494,0.0,-0.07142857142857142,-0.5186853501475939,0.0,-2.0,1761045154.1463928
4,22,-0.012664522667008508,0.045454545454545456,-0.22727272727272727,-0.27861949867418717,1.0,-5.0,1761045156.9979794
5,32,-0.015812275434820687,0.0,0.0,-0.505992813914262,0.0,0.0,1761045162.2885575
6,15,-0.03565323783431204,0.0,-0.2,-0.5347985675146806,0.0,-3.0,1761045164.3910086
7,18,-0.031527045415180956,0.0,-0.1111111111111111,-0.5674868174732572,0.0,-2.0,1761045167.1435578
8,23,-0.022811929808187418,0.0,-0.043478260869565216,-0.5246743855883106,0.0,-1.0,1761045172.4256654
9,21,-0.020868190235786472,0.0,0.0,-0.4382319949515159,0.0,0.0,1761045175.682561
10,23,-0.024127988126687178,0.0,-0.043478260869565216,-0.5549437269138051,0.0,-1.0,1761045179.698241
