episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,total_intrusions,finished_at
1,11,-0.014281683474624336,0.09090909090909091,0.0,-0.1570985182208677,1.0,0.0,0,1761119181.1702096
2,17,-0.04654705192853932,0.058823529411764705,-0.23529411764705882,-0.7912998827851685,1.0,-4.0,4,1761119181.2921512
3,6,-0.007427055191486831,0.16666666666666666,0.0,-0.04456233114892098,1.0,0.0,0,1761119181.3519936
4,8,-0.00524815098145171,0.125,0.0,-0.04198520785161368,1.0,0.0,0,1761119181.4670186
5,12,-0.013588240459077458,0.08333333333333333,0.0,-0.1630588855089295,1.0,0.0,0,1761119181.6126304
6,11,-0.023880905707310177,0.09090909090909091,0.0,-0.26268996278041196,1.0,0.0,0,1761119181.7088466
7,18,-0.011345440246797074,0.05555555555555555,0.0,-0.20421792444234732,1.0,0.0,0,1761119181.8402293
8,15,-0.0030874332241740163,0.06666666666666667,0.0,-0.04631149836261025,1.0,0.0,0,1761119181.9392707
9,5,-0.03302905812199478,0.2,-0.2,-0.1651452906099739,1.0,-1.0,1,1761119181.9842668
10,13,-0.00988112442151983,0.07692307692307693,0.0,-0.12845461747975778,1.0,0.0,0,1761119182.1335022
11,13,-0.0037916793204122307,0.07692307692307693,0.0,-0.049291831165359,1.0,0.0,0,1761119182.2072184
12,17,-0.0035427853705023824,0.058823529411764705,0.0,-0.0602273512985405,1.0,0.0,0,1761119182.3062963
13,15,-0.016606034449417363,0.06666666666666667,-0.06666666666666667,-0.24909051674126045,1.0,-1.0,1,1761119182.3974526
14,18,-0.017175451452094204,0.05555555555555555,0.0,-0.30915812613769567,1.0,0.0,0,1761119182.518187
15,9,-0.0027632294685823516,0.1111111111111111,0.0,-0.024869065217241165,1.0,0.0,0,1761119182.5681832
16,17,-0.04319330384431312,0.058823529411764705,-0.11764705882352941,-0.734286165353323,1.0,-2.0,2,1761119182.6844847
17,17,-0.03437311584664085,0.058823529411764705,0.0,-0.5843429693928944,1.0,0.0,0,1761119182.7765033
18,15,-0.03319660696052597,0.06666666666666667,0.0,-0.49794910440788953,1.0,0.0,0,1761119182.8848517
19,14,-0.00466553825929446,0.07142857142857142,0.0,-0.06531753563012245,1.0,0.0,0,1761119182.9694774
20,7,-0.007107119385909624,0.14285714285714285,0.0,-0.049749835701367366,1.0,0.0,0,1761119183.051966
21,21,-0.026545081493382756,0.047619047619047616,0.0,-0.5574467113610378,1.0,0.0,0,1761119183.2297027
22,16,-0.003848460639804172,0.0625,0.0,-0.06157537023686675,1.0,0.0,0,1761119183.3163247
23,5,-0.01216823549294456,0.2,0.0,-0.0608411774647228,1.0,0.0,0,1761119183.3706462
24,9,-0.05126935976783585,0.1111111111111111,-0.4444444444444444,-0.46142423791052267,1.0,-4.0,4,1761119183.4756677
25,18,-0.014703226423077358,0.05555555555555555,0.0,-0.26465807561539245,1.0,0.0,0,1761119183.6152673
26,7,-0.024036016316555196,0.14285714285714285,0.0,-0.16825211421588637,1.0,0.0,0,1761119183.6720834
27,13,-0.005540347984819899,0.07692307692307693,0.0,-0.0720245238026587,1.0,0.0,0,1761119183.8145523
28,20,-0.012696450735909725,0.05,0.0,-0.2539290147181945,1.0,0.0,0,1761119183.9340966
29,16,-0.044831846108075085,0.0625,0.0,-0.7173095377292014,1.0,0.0,0,1761119184.018293
30,13,-0.051784077508778746,0.07692307692307693,-0.07692307692307693,-0.6731930076141237,1.0,-1.0,1,1761119184.092421
31,11,-0.008085619925083914,0.09090909090909091,0.0,-0.08894181917592306,1.0,0.0,0,1761119184.1660726
32,5,-0.012377717939581343,0.2,0.0,-0.06188858969790671,1.0,0.0,0,1761119184.2502308
33,21,-0.009741225161060785,0.047619047619047616,-0.047619047619047616,-0.2045657283822765,1.0,-1.0,1,1761119184.4170332
34,18,-0.01902761848889694,0.05555555555555555,0.0,-0.34249713280014493,1.0,0.0,0,1761119184.5134637
35,11,-0.010042455947120341,0.09090909090909091,0.0,-0.11046701541832375,1.0,0.0,0,1761119184.5794804
36,24,-0.0224433123796571,0.041666666666666664,0.0,-0.5386394971117704,1.0,0.0,0,1761119184.7271957
37,10,-0.0047241847463555305,0.1,0.0,-0.04724184746355531,1.0,0.0,0,1761119184.791487
38,10,-0.01880393914573566,0.1,0.0,-0.1880393914573566,1.0,0.0,0,1761119184.9052129
39,1,-0.0033003103078334604,1.0,0.0,-0.0033003103078334604,1.0,0.0,0,1761119184.959957
40,15,-0.002943382765864676,0.06666666666666667,0.0,-0.04415074148797014,1.0,0.0,0,1761119185.1183305
41,8,-0.010944885014328163,0.125,-0.125,-0.0875590801146253,1.0,-1.0,1,1761119185.1702662
42,9,-0.03011674837781781,0.1111111111111111,0.0,-0.2710507354003603,1.0,0.0,0,1761119185.2334602
43,13,-0.01958933755012168,0.07692307692307693,0.0,-0.25466138815158185,1.0,0.0,0,1761119185.3482263
44,3,-0.003840486609542568,0.3333333333333333,0.0,-0.011521459828627704,1.0,0.0,0,1761119185.3932323
45,15,-0.006405862855788694,0.06666666666666667,0.0,-0.09608794283683042,1.0,0.0,0,1761119185.558523
46,14,-0.0159085144221621,0.07142857142857142,0.0,-0.22271920191026937,1.0,0.0,0,1761119185.665527
47,12,-0.03320356020632553,0.08333333333333333,-0.16666666666666666,-0.3984427224759064,1.0,-2.0,2,1761119185.7489595
48,2,-0.03684409717983519,0.5,0.0,-0.07368819435967038,1.0,0.0,0,1761119185.7895179
49,18,-0.014084045101874406,0.05555555555555555,0.0,-0.2535128118337393,1.0,0.0,0,1761119185.9497252
50,12,-0.027086894766757675,0.08333333333333333,-0.16666666666666666,-0.3250427372010921,1.0,-2.0,2,1761119186.0188677
51,17,-0.014069046221967987,0.058823529411764705,0.0,-0.23917378577345577,1.0,0.0,0,1761119186.146675
52,8,-0.005967752246421536,0.125,0.0,-0.047742017971372286,1.0,0.0,0,1761119186.1934156
53,15,-0.012229455138897642,0.06666666666666667,-0.06666666666666667,-0.18344182708346463,1.0,-1.0,1,1761119186.3070965
54,15,-0.020979820950499255,0.06666666666666667,-0.13333333333333333,-0.3146973142574888,1.0,-2.0,2,1761119186.4035845
55,8,-0.026695766908671762,0.125,-0.125,-0.2135661352693741,1.0,-1.0,1,1761119186.4811637
56,13,-0.007295631732062125,0.07692307692307693,0.0,-0.09484321251680762,1.0,0.0,0,1761119186.6070497
57,21,-0.026261092704897505,0.047619047619047616,-0.14285714285714285,-0.5514829468028476,1.0,-3.0,3,1761119186.7421079
58,14,-0.03735421433710291,0.07142857142857142,-0.14285714285714285,-0.5229590007194408,1.0,-2.0,2,1761119186.8209252
59,4,-0.05214427097766883,0.0,0.0,-0.2085770839106753,0.0,0.0,0,1761119186.873274
60,9,-0.003803116573534358,0.1111111111111111,0.0,-0.03422804916180922,1.0,0.0,0,1761119187.0125797
61,19,-0.0073315872285157095,0.05263157894736842,0.0,-0.1393001573417985,1.0,0.0,0,1761119187.1322355
62,13,-0.021284583275459918,0.07692307692307693,0.0,-0.27669958258097893,1.0,0.0,0,1761119187.2068298
63,18,-0.019341186575922025,0.05555555555555555,0.0,-0.34814135836659643,1.0,0.0,0,1761119187.3248444
64,17,-0.031228969914675275,0.058823529411764705,0.0,-0.5308924885494797,1.0,0.0,0,1761119187.4321682
65,18,-0.0017108583492185057,0.05555555555555555,0.0,-0.030795450285933102,1.0,0.0,0,1761119187.5339944
66,11,-0.0037042900972073397,0.09090909090909091,-0.09090909090909091,-0.040747191069280736,1.0,-1.0,1,1761119187.5983753
67,17,-0.03687227628026,0.058823529411764705,-0.058823529411764705,-0.62682869676442,1.0,-1.0,1,1761119187.7087476
68,8,-0.01426908174415332,0.125,0.0,-0.11415265395322656,1.0,0.0,0,1761119187.783218
69,16,-0.02741689305543539,0.0625,0.0,-0.43867028888696624,1.0,0.0,0,1761119187.9380624
70,14,-0.04551781969206648,0.07142857142857142,0.0,-0.6372494756889308,1.0,0.0,0,1761119188.0241427
71,23,-0.030636149696311777,0.043478260869565216,-0.08695652173913043,-0.7046314430151709,1.0,-2.0,2,1761119188.1921787
72,3,-0.010195311609499704,0.3333333333333333,0.0,-0.03058593482849911,1.0,0.0,0,1761119188.2176979
73,17,-0.0227349207465903,0.058823529411764705,0.0,-0.38649365269203506,1.0,0.0,0,1761119188.3755383
74,5,-0.008412562077879998,0.2,0.0,-0.04206281038939999,1.0,0.0,0,1761119188.421561
75,16,-0.007544942860557201,0.0625,0.0,-0.12071908576891521,1.0,0.0,0,1761119188.582376
76,15,-0.022603736825394148,0.06666666666666667,0.0,-0.33905605238091224,1.0,0.0,0,1761119188.6852922
77,15,-0.017919957272270668,0.06666666666666667,0.0,-0.26879935908406,1.0,0.0,0,1761119188.7877052
78,10,-0.0028839600547272927,0.1,0.0,-0.02883960054727293,1.0,0.0,0,1761119188.8505769
79,12,-0.009188958713951957,0.08333333333333333,0.0,-0.11026750456742349,1.0,0.0,0,1761119188.9624834
80,13,-0.006813750099631977,0.07692307692307693,0.0,-0.0885787512952157,1.0,0.0,0,1761119189.055294
81,12,-0.005048301402899824,0.08333333333333333,0.0,-0.06057961683479788,1.0,0.0,0,1761119189.172528
82,5,-0.009066935229874631,0.2,0.0,-0.04533467614937316,1.0,0.0,0,1761119189.233593
83,16,-0.025840359642557317,0.0625,-0.125,-0.41344575428091707,1.0,-2.0,2,1761119189.398459
84,10,-0.005430731713576816,0.1,0.0,-0.05430731713576816,1.0,0.0,0,1761119189.461602
85,10,-0.011418206798031105,0.1,0.0,-0.11418206798031105,1.0,0.0,0,1761119189.5647938
86,11,-0.008129864270896571,0.09090909090909091,0.0,-0.0894285069798623,1.0,0.0,0,1761119189.664157
87,19,-0.02041717872466795,0.05263157894736842,-0.05263157894736842,-0.38792639576869103,1.0,-1.0,1,1761119189.8039346
88,8,-0.007163624927443957,0.125,0.0,-0.05730899941955166,1.0,0.0,0,1761119189.8534653
89,3,-0.01193103020311851,0.3333333333333333,0.0,-0.03579309060935553,1.0,0.0,0,1761119189.922839
90,17,-0.06197678907245908,0.058823529411764705,-0.47058823529411764,-1.0536054142318043,1.0,-8.0,8,1761119190.0863357
91,4,-0.04281741689686916,0.25,0.0,-0.17126966758747664,1.0,0.0,0,1761119190.1205254
92,21,-0.004400010290895707,0.047619047619047616,0.0,-0.09240021610880984,1.0,0.0,0,1761119190.296858
93,6,-0.005075495763078104,0.16666666666666666,0.0,-0.030452974578468628,1.0,0.0,0,1761119190.3358877
94,6,-0.0275162596697263,0.16666666666666666,0.0,-0.1650975580183578,1.0,0.0,0,1761119190.431096
95,9,-0.009077135044466632,0.1111111111111111,0.0,-0.0816942154001997,1.0,0.0,0,1761119190.5160441
96,16,-0.005070583769820932,0.0625,0.0,-0.08112934031713491,1.0,0.0,0,1761119190.6587799
97,7,-0.006177202571799952,0.14285714285714285,0.0,-0.04324041800259966,1.0,0.0,0,1761119190.7201598
98,11,-0.024147164405717115,0.09090909090909091,0.0,-0.26561880846288827,1.0,0.0,0,1761119190.8331804
99,13,-0.024162938806217983,0.07692307692307693,-0.15384615384615385,-0.3141182044808338,1.0,-2.0,2,1761119190.9502282
100,7,-0.06319664397414888,0.14285714285714285,-1.1428571428571428,-0.4423765078190422,1.0,-8.0,8,1761119191.0145912
