episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,mean_reward_proximity,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,sum_reward_proximity,total_intrusions,finished_at
1,10,-0.0020909132251631106,0.19072491792668136,0.0,0.0,-0.020909132251631105,1.9072491792668136,0.0,0.0,0,1761211090.0248046
2,11,-0.0016094113893922006,0.18251888862960153,0.0,0.0,-0.017703525283314207,2.007707774925617,0.0,0.0,0,1761211090.1370704
3,12,-0.0018085675602986116,0.17513433009390988,0.0,-0.12098066189865841,-0.02170281072358334,2.1016119611269186,0.0,-1.451767942783901,0,1761211090.2791762
4,12,-0.0005799080912638759,0.17559603341642735,0.0,0.0,-0.0069588970951665104,2.107152400997128,0.0,0.0,0,1761211090.3750143
5,16,-0.0012331430534519836,0.15571089030690438,0.0,0.0,-0.019730288855231738,2.49137424491047,0.0,0.0,0,1761211090.548921
6,16,-0.005881695575383133,0.14769851900377978,0.0,-0.06227488318548116,-0.09410712920613012,2.3631763040604765,0.0,-0.9963981309676986,0,1761211090.663073
7,15,-0.004500137061690149,0.15446700512233089,-0.2,-0.07073304692655275,-0.06750205592535223,2.3170050768349633,-3.0,-1.0609957038982911,1,1761211090.7829647
8,10,-0.0013149467991939237,0.19109156911947403,0.0,0.0,-0.013149467991939237,1.9109156911947403,0.0,0.0,0,1761211090.8438315
9,17,-0.0015999051099439216,0.15210688091910043,0.0,0.0,-0.027198386869046666,2.5858169756247076,0.0,0.0,0,1761211090.9637609
10,8,-0.003144438172101552,0.21421134005150397,0.0,0.0,-0.025155505376812416,1.7136907204120317,0.0,0.0,0,1761211091.025867
11,19,-0.007916196807921425,0.13357460902977747,0.0,-0.02934235651511899,-0.15040773935050708,2.537917571565772,0.0,-0.5575047737872608,0,1761211091.2210855
12,13,-0.007181889926208418,0.16042080581290838,0.0,-0.021542919998873162,-0.09336456904070943,2.085470475567809,0.0,-0.2800579599853511,0,1761211091.3077192
13,10,-0.001947971525212238,0.19081662711730907,0.0,0.0,-0.01947971525212238,1.9081662711730907,0.0,0.0,0,1761211091.386029
14,6,-0.003845405705692627,0.25335065803013057,0.0,0.0,-0.02307243423415576,1.5201039481807834,0.0,0.0,0,1761211091.4777024
15,9,-0.0015932817532848297,0.20149958942668136,0.0,0.0,-0.014339535779563468,1.8134963048401322,0.0,0.0,0,1761211091.5885103
16,1,-0.04192008917833873,1.0,0.0,0.0,-0.04192008917833873,1.0,0.0,0.0,0,1761211091.650523
17,21,-0.002378838699924511,0.14142124972474526,0.0,0.0,-0.04995561269841473,2.9698462442196503,0.0,0.0,0,1761211091.8415809
18,4,-0.007348591972665075,0.3232559050212185,0.0,-0.03753089845918341,-0.0293943678906603,1.293023620084874,0.0,-0.15012359383673363,0,1761211091.8750567
