episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,mean_reward_proximity,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,sum_reward_proximity,total_intrusions,finished_at
1,343,-0.03154711784821767,-0.0006509356544533707,-0.10495626822157435,-0.011414905108750135,-10.820661421938661,-0.22327092947750615,-36.0,-3.915312452301296,12,1761293941.057274
2,163,-0.01925918931617553,0.015266775347075516,0.0,0.0,-3.1392478585366113,2.488484381573309,0.0,0.0,0,1761293942.3329701
3,65,-0.0261988976073112,0.0038534924752599707,0.0,0.0,-1.702928344475228,0.2504770108918981,0.0,0.0,0,1761294000.222522
4,81,-0.041651755423009744,-0.005726423439378622,-0.14814814814814814,-0.030949136163968206,-3.373792189263789,-0.46384029858966835,-12.0,-2.5068800292814246,4,1761294002.1583579
5,183,-0.022147858737641957,0.007461135633742037,0.0,-0.02203727148557232,-4.0530581489884785,1.3653878209747927,0.0,-4.032820681859734,0,1761294054.724034
6,158,-0.03307766996182649,-3.243965544462136e-05,-0.13291139240506328,-0.04847299639999237,-5.226271853968585,-0.005125465560250175,-21.0,-7.658733431198795,7,1761294056.1047215
7,37,-0.010979068844019245,0.015332697782070026,0.0,0.0,-0.40622554722871207,0.567309817936591,0.0,0.0,0,1761294056.4981914
8,39,-0.009369451509261946,0.04251400816776845,0.0,0.0,-0.3654086088612159,1.6580463185429695,0.0,0.0,0,1761294057.73134
9,51,-0.023796546585952184,0.006059964839800805,0.0,0.0,-1.2136238758835614,0.30905820682984103,0.0,0.0,0,1761294109.3631692
10,29,-0.025129887243462757,0.006553981234778656,-0.6206896551724138,-0.03234712405415788,-0.7287667300604199,0.19006545580858103,-18.0,-0.9380665975705784,6,1761294111.0870292
11,58,-0.011183155559841281,0.014050792316607575,-0.10344827586206896,-0.024480192442476616,-0.6486230224707943,0.8149459543632394,-6.0,-1.4198511616636438,2,1761294164.2657967
12,95,-0.0100855210329271,0.024947603770308982,0.0,0.0,-0.9581244981280745,2.3700223581793534,0.0,0.0,0,1761294166.1321745
13,277,-0.024121378876027635,0.004424227404546072,-0.1624548736462094,-0.012546833964392752,-6.681621948659655,1.225510991059262,-45.0,-3.475473008136792,15,1761294236.0994008
