episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,mean_reward_proximity,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,sum_reward_proximity,total_intrusions,terminated_intrusion,terminated_waypoint,truncated,finished_at
1,1,-0.002895038961182462,0.03431947569860627,0.0,0.0,-0.002895038961182462,0.03431947569860627,0.0,0.0,0,True,False,False,1761306727.4715223
2,107,-0.002492764760210627,0.028805607292673733,0.0,0.0,-0.2667258293425371,3.0821999803160893,0.0,0.0,0,False,True,False,1761306738.9194062
3,22,-0.002437422345409546,0.02103084097693939,0.0,0.0,-0.053623291599010005,0.4626785014926666,0.0,0.0,0,True,False,False,1761306741.3420918
4,27,-0.0023488251416472223,0.05703383230472831,0.0,0.0,-0.063418278824475,1.5399134722276644,0.0,0.0,0,False,True,False,1761306744.3408716
5,11,-0.002886900051966988,0.11181880065543891,0.0,0.0,-0.031755900571636866,1.230006807209828,0.0,0.0,0,False,True,False,1761306751.9759247
6,15,-0.0021751731227564394,0.021846448462804733,0.0,0.0,-0.03262759684134659,0.32769672694207097,0.0,0.0,0,True,False,False,1761306763.3937583
7,23,-0.002458093978722696,0.06359682393921537,0.0,0.0,-0.05653616151062201,1.4627269506019536,0.0,0.0,0,False,True,False,1761306765.9747646
8,36,-0.0019501637422228058,0.020382489659921486,0.0,-0.17234366871068277,-0.070205894720021,0.7337696277571735,0.0,-6.2043720735845795,0,True,False,False,1761306776.6727817
9,1,-0.0007088917240848597,0.03465521040512343,0.0,0.0,-0.0007088917240848597,0.03465521040512343,0.0,0.0,0,True,False,False,1761306776.8853803
10,12,-0.0017665529979370154,0.02253213965199093,0.0,0.0,-0.021198635975244184,0.27038567582389117,0.0,0.0,0,True,False,False,1761306778.2711377
