feature,index,min,max,mean,std,samples,episode_index
cos_drift,0,-0.9999673366546631,1.0,0.017866330953606523,0.674492299404827,1148,1
sin_drift,1,-0.9999946355819702,0.9999999403953552,0.14911955782778322,0.7234338005196982,1148,1
airspeed_norm,2,-0.5052981376647949,1.0000131130218506,-0.06072766317458937,0.15326458872110987,1148,1
risk_0,3,0.014000000432133675,1.0,0.12636071625928208,0.209850372996185,1148,1
risk_1,4,0.014000000432133675,0.6585144400596619,0.042067788640290316,0.0461781367997471,1148,1
risk_2,5,0.014000000432133675,0.10326129198074341,0.02507601632616558,0.019765391713561214,1148,1
x_r_0,6,-0.5600295662879944,1.032386064529419,0.05774076338802655,0.22997769181380215,1148,1
x_r_1,7,-0.5959101915359497,0.5680341720581055,-0.07001902776395742,0.1976406514454881,1148,1
x_r_2,8,-1.0588440895080566,0.5689394474029541,-0.11680957236323583,0.3344426633795414,1148,1
y_r_0,9,-0.7273904085159302,0.6059578061103821,-0.027561092422250886,0.20026272229372746,1148,1
y_r_1,10,-0.4043688476085663,0.9782083630561829,0.10382678484290028,0.31969997492264396,1148,1
y_r_2,11,-0.38870304822921753,0.7975286841392517,0.06446708939508747,0.2873353666719217,1148,1
vx_r_0,12,-0.6701632142066956,0.7334744930267334,0.001878511950902799,0.19914120174190555,1148,1
vx_r_1,13,-0.7318758964538574,0.6701632142066956,-0.052489210863000194,0.1973142456970511,1148,1
vx_r_2,14,-0.7334744930267334,0.683131992816925,-0.04611292391754481,0.22431617280367327,1148,1
vy_r_0,15,-0.7626944780349731,0.5753394961357117,-0.02127214837929873,0.263302725284981,1148,1
vy_r_1,16,-0.46637555956840515,0.661838948726654,0.05857202536802702,0.23074198228715434,1148,1
vy_r_2,17,-0.4458753168582916,0.7626944780349731,0.029252332248736156,0.22937743457721924,1148,1
cos_trk_0,18,-0.999992311000824,0.9999902248382568,0.043394000223028174,0.6140459098402633,1148,1
cos_trk_1,19,-0.9999951720237732,0.9999207854270935,-0.20520774773551237,0.6519471028813282,1148,1
cos_trk_2,20,-0.9999988675117493,0.9999951720237732,-0.13356292947653425,0.6915260263082993,1148,1
sin_trk_0,21,-0.9999998211860657,0.9999998211860657,-0.04813121045770899,0.7871570019856452,1148,1
sin_trk_1,22,-0.9999995827674866,0.9999995827674866,0.1617423310072343,0.7123948991254833,1148,1
sin_trk_2,23,-0.999998927116394,0.9999970197677612,0.056059901290638064,0.7082821005484572,1148,1
dist_n_0,24,-0.6617617607116699,0.7539754509925842,-0.3572152685244224,0.2770640330866989,1148,1
dist_n_1,25,-0.6479908227920532,0.8016576766967773,-0.27044120454868303,0.34916987446257786,1148,1
dist_n_2,26,-0.6203728318214417,1.0981955528259277,-0.2027074716711831,0.4023072199616656,1148,1
cos_drift,0,-0.9999867081642151,1.0,0.037647404206198935,0.6900766919561693,1633,2
sin_drift,1,-0.9999946355819702,0.9999999403953552,0.12077551640050785,0.7130168620984482,1633,2
airspeed_norm,2,-0.5052981376647949,1.0000131130218506,-0.04554570309582676,0.16571168339065243,1633,2
risk_0,3,0.014000000432133675,1.0,0.10440185809860415,0.17983550414223018,1633,2
risk_1,4,0.014000000432133675,0.6585144400596619,0.038202780981554385,0.04090654321576809,1633,2
risk_2,5,0.014000000432133675,0.10326129198074341,0.022741437779565013,0.018135204976597052,1633,2
x_r_0,6,-0.6080337166786194,1.032386064529419,0.03842791688673194,0.21258639928204834,1633,2
x_r_1,7,-0.7424250245094299,0.5680341720581055,-0.09364058160944262,0.22113089903929786,1633,2
x_r_2,8,-1.0588440895080566,0.5689394474029541,-0.1241222973354338,0.31229404645886055,1633,2
y_r_0,9,-0.7273904085159302,0.6059578061103821,-0.017869114680140148,0.1950988594389023,1633,2
y_r_1,10,-0.5863558650016785,0.9782083630561829,0.08642710385256253,0.2914352029078183,1633,2
y_r_2,11,-0.7763494849205017,0.7975286841392517,0.01462949296385133,0.28807699537418063,1633,2
vx_r_0,12,-0.9133893847465515,0.9375035762786865,0.0026286060796414496,0.21603040594627942,1633,2
vx_r_1,13,-0.9375035762786865,0.8991888761520386,-0.056863278602260425,0.20422244772377537,1633,2
vx_r_2,14,-0.9361874461174011,0.8285404443740845,-0.0406246704983885,0.24414074101439662,1633,2
vy_r_0,15,-0.7626944780349731,0.5753394961357117,-0.01881869524255807,0.23804898423831905,1633,2
vy_r_1,16,-0.46637555956840515,0.661838948726654,0.03548185244101285,0.21660044230669478,1633,2
vy_r_2,17,-0.4683059751987457,0.7626944780349731,-0.009854849017330284,0.22747333562342076,1633,2
cos_trk_0,18,-0.9999927878379822,0.9999927878379822,0.02310860350705797,0.6258663005369468,1633,2
cos_trk_1,19,-1.0,0.9999207854270935,-0.2072464459512554,0.6387848624510609,1633,2
cos_trk_2,20,-0.9999988675117493,0.9999986886978149,-0.11797043467911482,0.687683634415642,1633,2
sin_trk_0,21,-0.9999998211860657,0.9999998211860657,-0.057539032203010265,0.7778541080837457,1633,2
sin_trk_1,22,-0.9999995827674866,0.9999995827674866,0.0776263665791805,0.7372650082401593,1633,2
sin_trk_2,23,-0.999998927116394,0.9999970197677612,-0.0584479448551213,0.7143949591551173,1633,2
dist_n_0,24,-0.6617617607116699,0.7539754509925842,-0.36398114581619173,0.2439914556530197,1633,2
dist_n_1,25,-0.6479908227920532,0.8016576766967773,-0.25750417818100896,0.31511115495575615,1633,2
dist_n_2,26,-0.6203728318214417,1.0981955528259277,-0.20067328797841244,0.3625201687130423,1633,2
cos_drift,0,-0.9999963641166687,1.0,0.08113564184768363,0.7049890754588344,2309,3
sin_drift,1,-0.9999946355819702,0.9999999403953552,0.16514526573627916,0.6852394170288763,2309,3
airspeed_norm,2,-0.5052981376647949,1.0000131130218506,-0.04451831521294651,0.16812943299053307,2309,3
risk_0,3,0.014000000432133675,1.0,0.09072424719314225,0.16012866556216895,2309,3
risk_1,4,0.014000000432133675,0.6585144400596619,0.03480660888149004,0.036877406020916076,2309,3
