iteration,avg_reward,avg_length,avg_intrusions,waypoint_rate
5,-5.347,91.5,1.17,0.9722
10,-3.661,93.8,1.17,0.9722
15,-5.25,95.23,1.3,0.9944
20,-5.034,101.13,1.33,0.9889
25,-3.27,97.03,1.0,0.9833
30,-3.587,95.4,0.97,0.95
35,-6.34,94.17,1.33,0.9833
40,-5.238,95.0,1.17,0.9889
45,-6.71,95.23,1.37,0.9944
50,-2.583,90.93,0.87,1.0
55,-3.353,96.23,0.93,0.9778
60,-1.251,91.33,0.7,0.9944
65,-5.253,94.6,1.27,0.9889
70,-5.98,101.0,1.4,0.9833
75,-4.302,89.67,1.1,0.9778
80,-1.604,93.73,0.7,0.9778
85,-5.194,95.63,1.27,0.9778
90,-4.24,95.73,1.07,0.9611
95,-4.764,96.83,1.17,0.9667
100,-5.796,97.93,1.3,0.9278
